OrderType,OrderItemName,Quantity,Price,ShipmentAddress,ZipCode
E,Black Currant,199,5.66,8984 Aliquet Rd.,1636
E,Tangerine,61,1.30,5233 Ac Street,32000
E,Butter Pecan,190,1.34,778-644 Nullam Ave,20647
E,Punch,187,9.80,"P.O. Box 335, 1154 Mollis Av.",3955
E,Cheesecake,97,6.73,2322 Ac Av.,75866
E,Mango Orange Pineapple,147,1.48,"P.O. Box 324, 411 Dis Rd.",9173
E,Mojito,165,5.93,657-7683 Dis Ave,54-637
E,Grapefruit,159,3.44,"P.O. Box 309, 9166 Integer Av.",19106
E,Cheesecake,84,8.01,4024 Tristique Av.,3693
E,Mango,39,0.59,842-4406 Et Street,57414
E,Grand Mariner,100,3.57,Ap #822-9897 Molestie. Street,7663
E,Hazelnut,63,8.03,933-9716 Lorem Ave,8535
E,Huckleberry,137,0.77,"P.O. Box 559, 3735 Sodales. Street",440316
E,Blue Raspberry,97,3.95,727-8286 Mi. Avenue,47616
E,Orange,179,1.92,"P.O. Box 795, 2991 A Av.",5953
E,Cinnamon Roll,66,1.75,8204 Tellus Road,8509
E,Tart Lemon,108,7.63,"943-469 Non, Avenue",9994 HV
E,Coconut,177,4.75,"P.O. Box 301, 6454 Ante Street",91276
E,Black Licorice,56,1.26,Ap #934-6877 Nibh. Rd.,50-201
E,Dill Pickle,75,6.82,962-1034 Eleifend Av.,76942-399
E,Watermelon,81,9.80,9139 Libero Street,3066
E,Pina Colada,166,4.30,5061 Cras Rd.,27631
E,Mocha,149,0.19,Ap #138-1066 Amet Road,278772
E,Lemon Custard,88,9.84,Ap #690-4883 Fusce St.,88851
E,Sassafras,10,4.91,"P.O. Box 461, 1528 Magna. Av.",4385 AO
E,Long Island Tea,111,9.70,Ap #617-1528 Duis Av.,25062
E,Melon Kiwi,13,1.35,8453 Dis St.,158570
E,Graham Cracker,95,3.56,"4784 Odio, St.",ZF90 2XX
E,Nutmeg,105,4.78,"9932 Dui, Rd.",838754
E,Spearmint,62,2.96,"P.O. Box 269, 9228 Dolor. Rd.",215101
E,Long Island Tea,68,6.26,Ap #194-2892 Ridiculus St.,8446
E,Berry Cola,37,9.97,"P.O. Box 231, 3827 Nibh. St.",68704-812
E,Bavarian Cream,179,9.07,3052 Eleifend St.,21115
E,Flan,11,4.14,8497 Conubia Street,49445
E,Bavarian Cream,31,1.24,"Ap #187-8152 Ornare, St.",RL6 7YQ
E,Hazelnut,164,7.79,"P.O. Box 724, 731 Pharetra Avenue",55146
E,Mocha Irish Cream,151,1.72,Ap #393-4268 Eu Street,5519
E,Cheesecake,43,1.34,792-6298 At Street,82581
E,Orange,16,0.82,9721 Aliquam Road,343634
E,Vanilla,129,8.38,"P.O. Box 840, 948 Sapien St.",3398
E,Whipped Cream,110,5.53,216-1914 Suspendisse Road,51380
E,Toasted Coconut,100,7.27,6023 Luctus Avenue,770668
E,Orange Pineapple,89,5.95,"P.O. Box 545, 6567 Sed Road",07791
E,Amaretto,145,1.97,Ap #202-2588 In St.,5290
E,Key Lime,90,0.31,9618 Vulputate Rd.,49034
E,Wintergreen,132,0.87,Ap #900-7661 Nisi Road,02692
E,Smoke,45,1.26,"P.O. Box 542, 7421 Dignissim Rd.",07286
E,Mocha,94,2.24,Ap #100-6159 Ipsum Avenue,15807
E,Plantation Punch,104,9.72,806 Maecenas Rd.,41513
E,Key Lime,120,4.54,Ap #677-5383 Quisque Road,50275
E,Creme de Menthe,190,8.56,Ap #888-3625 Libero. Rd.,36259
E,Tonic,102,4.45,"P.O. Box 692, 5436 Est Road",M9H 4K3
E,Cookie Dough,88,7.38,8129 Dui Street,507588
E,Mango Orange Pineapple,60,5.26,Ap #500-4128 Pede St.,71261
E,Butter Milk,60,6.36,751-3652 Orci Avenue,27381
E,Butter Milk,40,1.20,"Ap #194-3239 A, St.",2434
E,Mango Orange Pineapple,193,1.56,9724 Mollis. St.,901218
E,Rum,163,0.43,4905 Lobortis. Av.,6600
E,Prickly Pear,15,6.80,753-2216 Magnis Ave,668557
E,Creme de Menthe,186,6.32,"P.O. Box 942, 2133 Aliquet. Street",PQ3U 6ED
E,Berry Cola,160,3.52,556-4465 Eros Street,BT49 1WF
E,Long Island Tea,128,7.82,456-327 Urna. Street,79917
E,Cream Soda,55,3.76,350-295 Ornare Avenue,P9J 7A6
E,Pomegranate,173,6.50,Ap #114-7807 Quisque Road,70736
E,Margarita,105,1.38,"P.O. Box 395, 6357 Donec Street",1072
E,Apricot,10,6.48,"P.O. Box 436, 4058 Eget Ave",70219
E,Toffee,44,4.20,"P.O. Box 631, 6765 Non Street",54607
E,Lime,63,7.71,Ap #390-9534 Tempus Rd.,31201
E,Marshmallow,152,7.18,709-5169 Erat Avenue,U54 2AU
E,Orange Brandy,187,2.38,753 Sodales St.,36565
E,Tutti Frutti,141,4.09,2915 Et Street,51924
E,Grape,190,7.06,"P.O. Box 695, 6226 Ligula. Rd.",72336
E,Butter Almond,186,7.76,"P.O. Box 221, 9514 Augue. Rd.",S4T 5M8
E,Orange Mango,167,9.06,"P.O. Box 967, 8001 Et Ave",53394
E,Blue Raspberry,169,7.69,"8304 Lorem, Av.",43526
E,Margarita,34,3.74,623-938 Enim. St.,32742
E,Kettle Corn,48,6.05,6029 Diam Avenue,41807
E,Butter,57,0.03,5630 In Street,128886
E,Vanilla,170,8.13,782-4874 Dolor Av.,28634
E,Macadamia Nut,73,4.54,617-4826 Lorem Av.,3605 CZ
E,Cherry Cream Spice,106,9.24,Ap #253-4850 Nullam Rd.,01-675
E,Acai Berry,112,1.09,"P.O. Box 864, 4971 Gravida St.",4818 PY
E,Candy Corn,95,7.02,719-1133 Nulla. Street,09862
E,Strawberry,44,9.91,"P.O. Box 702, 222 Sed Avenue",43-448
E,Pineapple,86,1.56,"P.O. Box 986, 9270 Sed Rd.",31-622
E,Orange Pineapple,157,9.41,950-171 Dui. Avenue,465526
E,Dill Pickle,190,7.50,489-4833 Sodales St.,C4Y 5G2
E,Cherry,56,7.58,3384 Nulla. Street,43662
E,Passion Fruit,171,9.27,Ap #723-5871 Faucibus St.,80627
E,Pumpkin Pie,150,3.17,"P.O. Box 659, 2402 Etiam Av.",7672
E,Plantation Punch,102,0.84,242-3228 Iaculis St.,71419-970
E,Tequila,183,5.90,"P.O. Box 377, 5872 Nibh St.",61108
E,Mojito,114,3.50,Ap #577-1637 Ac St.,191294
E,Toasted Coconut,30,3.07,154-2565 Mauris Rd.,80427
E,Strawberry,95,1.78,940-3111 Lectus. Rd.,890121
E,Carrot Cake,115,1.14,Ap #926-2058 Mauris Rd.,57341
E,Almond,50,1.98,Ap #228-7538 Enim St.,08014-734
E,Almond,101,9.93,"P.O. Box 439, 8614 Ad Ave",92801
E,Lemon,49,6.42,987-3478 Risus Street,95-100
E,Anise,191,3.83,Ap #274-7722 Mus. Rd.,193160
E,Malted Milk,128,3.68,"P.O. Box 923, 1300 Bibendum St.",9383
E,Peanut,172,7.35,3615 Nunc Ave,1823 CX
E,Grape,178,5.27,6373 Non Av.,918568
E,Sarsaparilla,58,9.27,292-328 Egestas. St.,OU6 3IF
E,Mixed Berry,90,6.42,9036 Nibh Street,5018
E,Rock and Rye,137,3.35,Ap #784-118 Quisque Avenue,07227
E,Coconut,74,7.78,9912 Duis St.,60633-965
E,Egg Nog,103,6.23,Ap #305-4246 Non Av.,452459
E,Cheesecake,125,7.95,903-6364 Gravida Avenue,04641
E,Marshmallow,35,9.94,"P.O. Box 853, 9163 Ornare, Rd.",55989
E,Orange Pineapple,89,0.87,6364 Massa Av.,G8Z 7P7
E,Lemon Custard,135,7.46,1590 Arcu Road,5833 QM
E,Birch Beer,101,1.24,Ap #948-8103 Erat St.,16-022
E,Apricot,163,8.96,"Ap #771-5977 Ut, Street",0476 NL
E,Orange Pineapple,178,3.08,"P.O. Box 526, 2613 Odio. Avenue",44424
E,Almond,84,7.24,"Ap #908-2807 Ut, Ave",55088
E,Melon Kiwi,82,8.79,283-5312 Mollis. Ave,11732
E,Grapefruit,90,5.36,3354 Ac Ave,50902
E,Elderberry,104,7.51,6592 Ipsum Rd.,7688 NW
E,Rock and Rye,193,4.70,957-3154 Cursus Ave,72918
E,Butter,178,2.41,Ap #680-4940 Ipsum St.,978832
E,Toffee,65,2.58,"P.O. Box 900, 8563 Ut Av.",18951
E,Horchata,181,3.59,"P.O. Box 834, 1729 Convallis Av.",C0R 1Z9
E,Kettle Corn,100,8.25,Ap #222-7710 Dignissim. Av.,76498
E,Irish Whiskey,178,2.49,"P.O. Box 571, 4733 Non, Street",26546
E,Ginger Beer,112,2.18,"P.O. Box 866, 8473 Risus. Ave",14997
E,Honey,185,8.91,722-328 Phasellus Avenue,892582
E,Cinnamon Roll,181,5.44,767-1537 Vitae Rd.,55031-707
E,Butterscotch,114,5.20,4846 Mauris St.,24080
E,Mocha,176,8.77,"P.O. Box 707, 8880 Nam Av.",09091-822
E,Wintergreen,63,0.51,530-1753 Dignissim. Av.,054670
E,Cotton Candy,196,3.50,"Ap #981-5551 Orci, Avenue",3585
E,Pineapple,192,1.95,Ap #195-5671 Gravida Av.,M46 4EZ
E,White Chocolate,194,4.95,Ap #964-4520 Velit St.,209472
E,Bourbon,132,5.60,Ap #296-8203 Curabitur Av.,09-442
E,Nutmeg,161,7.35,805-3831 Phasellus Rd.,75284
E,Bubble Gum,56,5.51,"P.O. Box 774, 4346 Luctus Rd.",10429
E,Orange,67,6.63,747-533 Magna. Rd.,49-538
E,Kettle Corn,185,0.63,"Ap #681-3568 Non, Road",5210
E,Mint,86,7.50,Ap #128-7934 Egestas Rd.,8766
E,Nutmeg,156,1.51,"P.O. Box 101, 4842 Arcu Rd.",51734
E,Tart Lemon,154,8.06,255-4918 Dictum Ave,32884
E,Pineapple,104,8.77,Ap #829-4631 Praesent Street,33742
E,Pineapple,161,4.31,1497 Adipiscing St.,86104
E,Wild Cherry Cream,128,4.92,152-8353 Proin Rd.,91815
E,Pineapple,69,5.86,Ap #925-9259 Proin Street,24-869
E,Black Walnut,136,5.79,"P.O. Box 891, 4417 Turpis. Rd.",413710
E,Fenugreek,165,2.40,"P.O. Box 186, 7754 Lorem. Rd.",3950
E,Bacon,64,2.85,Ap #824-2501 Ut Rd.,87-658
E,Tangerine,32,5.42,298-2365 Lacinia Street,8306 FD
E,Apple,108,6.96,"P.O. Box 807, 9229 Aliquet St.",89-117
E,Whipped Cream,163,7.92,4417 Aliquet Avenue,26339
E,Malted Milk,46,3.80,"P.O. Box 666, 9952 Dapibus Ave",62573
E,Egg Nog,116,2.56,"P.O. Box 467, 4064 Ut Ave",30103
E,Macadamia Nut,93,9.72,"P.O. Box 713, 1173 Cum St.",552941
E,Apricot,56,7.27,Ap #267-2331 Enim Av.,3970
E,Birch Beer,127,4.05,6189 Lorem Rd.,M4Z 0G6
E,Acai Berry,78,3.81,Ap #166-1184 Sociis Avenue,02302
E,Tutti Frutti,13,9.60,Ap #833-4978 Morbi Street,8835
E,Tequila,99,5.88,2648 Egestas. St.,863745
E,Candy Corn,105,0.17,"P.O. Box 480, 738 Pellentesque St.",15112
E,Cream Soda,165,3.62,Ap #768-2234 Ornare. Street,61808
E,Peppermint,167,1.62,Ap #801-3086 Blandit St.,5744
E,Almond,128,2.00,"P.O. Box 950, 1339 Velit Av.",26171
E,Honey,57,7.80,"P.O. Box 392, 7437 Amet, Road",15125
E,Fruit Punch,139,3.90,424-9137 Fermentum Rd.,30399
E,Smoke,126,5.26,"9985 Vulputate, St.",60666-582
E,Pink Lemonade,130,5.67,323-2491 Metus Street,2523
E,Fuzzy Navel,193,2.21,Ap #413-5736 Arcu. Ave,K3J 0G3
E,Macadamia Nut,120,2.70,157-6360 Accumsan St.,9831
E,Cheesecake,100,4.51,9433 Est St.,510211
E,Tart Lemon,90,6.38,Ap #548-3334 Congue St.,2895
E,Lime,61,2.81,"P.O. Box 468, 8154 Vestibulum Av.",1911
E,Black Cherry,110,8.63,1958 Interdum Street,8234
E,Birch Beer,179,7.56,7043 Malesuada St.,716580
E,Pink Lemonade,146,4.61,"P.O. Box 913, 5490 Fusce Avenue",11007
E,Nutmeg,137,2.81,"P.O. Box 665, 9433 Non Av.",87684
E,Spice,62,8.65,7849 Neque St.,03385
E,Graham Cracker,108,3.50,785-9673 Aliquam St.,80917
E,Pumpkin Pie,156,1.87,"Ap #338-4578 Ut, Avenue",56368
E,Blackberry,62,2.21,5990 Suspendisse Ave,983679
E,Cinnamon Roll,104,6.20,Ap #808-6673 Non Street,1334
E,Vanilla Cream,84,7.90,Ap #389-750 Id Rd.,8386
E,Orange Mandarin,132,1.26,1676 Dui. Rd.,75183
E,Mixed Berry,186,7.48,758-8170 Pharetra St.,695950
E,Flan,29,5.00,6358 Neque Rd.,584550
E,Almond,165,3.24,100 Faucibus. St.,26072
E,Pecan,126,8.83,3523 Bibendum St.,91449
E,Fruit Punch,112,1.73,299-5516 Velit Street,409931
E,Nutmeg,110,2.42,Ap #271-3217 Eget Av.,62457
E,Almond,93,4.37,491-4463 Ipsum. St.,186733
E,Vanilla Cream,90,8.45,Ap #813-7190 Quis Av.,M7B 1XD
E,Ginger Beer,91,5.00,"P.O. Box 509, 1444 Dictum Ave",337203
E,Margarita,58,3.84,216-2590 Massa. Av.,5339
E,White Chocolate,156,9.84,"P.O. Box 994, 7663 Molestie. Ave",15212-756
E,Butter Milk,101,9.93,1921 Tristique St.,T8C 2Y5
E,Grape,19,6.09,"P.O. Box 923, 5807 Auctor. Rd.",31341
E,Butter Pecan,15,6.28,7743 Amet St.,22732
E,Chocolate Mint,46,3.78,869-1489 Pharetra St.,3891
E,Tonic,156,1.41,"P.O. Box 423, 6461 Cras St.",4435
E,Bourbon,75,4.41,"P.O. Box 288, 2940 Ac Street",30349
E,Candy Corn,118,2.77,4037 Varius. Av.,24805
E,Pear,137,5.94,"P.O. Box 268, 2651 Non Street",U3W 2ZS
E,Pecan,192,7.24,Ap #886-5923 Pede Ave,9632
E,Smoke,63,9.99,330-4355 Odio Rd.,97136
E,Apple,40,6.99,Ap #434-2417 Senectus Av.,7826
E,Toasted Coconut,68,2.58,Ap #323-6242 Quis Rd.,16812
E,Black Cherry,174,1.90,"P.O. Box 728, 5767 Mi Road",83897
E,Watermelon,23,6.31,"214-6631 Ut, Rd.",907469
E,Chocolate,154,1.47,694-6853 Nam Rd.,82033
E,Mocha Irish Cream,126,4.90,Ap #928-1141 Nec Ave,67933
E,Black Currant,134,6.77,503-6234 At Av.,04910
E,Butter Almond,174,0.11,954-2099 Phasellus Street,9547
E,Punch,15,3.50,1117 Felis. Rd.,T6S 0Z6
E,Anise,163,6.09,885-773 Arcu. Rd.,11515
E,Butter Milk,122,2.81,"P.O. Box 930, 4129 In, Street",C6 1BK
E,Wild Cherry Cream,62,2.70,Ap #905-406 Luctus Av.,13-281
E,Butter Toffee,144,6.19,180-819 Felis St.,34710
E,Anise,38,7.66,"7474 Odio, Rd.",525608
E,Spearmint,183,8.09,Ap #500-4298 Lacus. Rd.,99712
E,Lemon Bar,17,8.07,"764-125 Ut, Rd.",39863
E,Bacon,68,9.29,518-9200 Non Rd.,490497
E,Blue Raspberry,154,6.97,3181 Amet Avenue,37509-009
E,Sour,89,5.85,573-7280 Pretium Road,92637
E,Root Beer,30,0.26,6328 Pharetra Ave,8255 WG
E,Apple,79,5.05,Ap #400-2663 Ullamcorper. Road,57788
E,Irish Whiskey,24,6.99,Ap #478-5610 Odio Ave,4622
E,Blueberry,152,9.99,Ap #142-6074 Integer Street,79-933
E,Long Island Tea,184,6.74,"P.O. Box 728, 6079 Et Rd.",10498
E,Plum,150,0.80,"8447 Quis, Ave",32789
E,Lemon Lime,84,1.68,Ap #589-9654 Erat Street,56807
E,Orange Mandarin,88,1.27,"P.O. Box 772, 8358 Nec Street",54906
E,Butter,28,2.38,501-7138 Nec Av.,522101
E,Tropical Punch,44,7.50,Ap #284-9045 Malesuada St.,H60 5YO
E,Orange Brandy,122,9.66,769-1124 Id Street,X0N 2K8
E,Wild Cherry Cream,60,7.17,Ap #336-2970 Ipsum. Av.,325584
E,Tutti Frutti,44,3.17,"P.O. Box 382, 7424 Erat Street",K6K 8E6
E,Mixed Berry,78,8.96,747-8881 Penatibus St.,7716
E,Orange Mandarin,54,5.84,2948 Convallis St.,826959
E,Mint,198,3.70,3070 Aliquam Avenue,14259
E,Bacon,83,2.04,"Ap #300-4761 Iaculis, Rd.",M1P 5W8
E,Orange Cream,164,6.80,Ap #342-9471 Suspendisse St.,216594
E,Butter Pecan,136,1.12,Ap #606-5462 Molestie Rd.,900597
E,Black Currant,50,6.50,382-1427 Penatibus Avenue,A64 9RU
E,Tangerine,70,1.82,"P.O. Box 960, 2234 Faucibus Ave",20682
E,Coconut,17,7.15,391-7634 Mauris. Road,C4J 0B2
E,Plum,128,5.33,1285 Mi Street,12-507
E,Quinine,83,3.70,"P.O. Box 956, 5351 Imperdiet St.",041476
E,Plantation Punch,64,3.19,912-280 Sagittis Rd.,41919
E,Lime,165,7.72,274 Luctus. Ave,864267
E,Cream Soda,180,9.90,Ap #642-2214 Nulla Ave,50718
E,Root Beer,108,0.17,"P.O. Box 627, 9306 Consequat Avenue",TX0Z 6FM
E,Peach,196,2.93,"P.O. Box 303, 1055 Lacus. Ave",59852
E,Amaretto,150,9.73,Ap #881-9768 Mi Av.,46821
E,Rum,35,3.43,"P.O. Box 561, 6076 Magna. Av.",508723
E,Orange Mango,184,1.47,"8470 Lectus, St.",2333 XV
E,Carrot Cake,86,7.18,"945-3190 Ante, Street",7508
E,Banana,124,7.65,487-4311 Sodales Road,1670
E,Butterscotch,61,3.85,"P.O. Box 865, 1787 Tellus St.",5757
E,Peppermint,118,7.87,"P.O. Box 614, 7893 Orci Rd.",4911
E,Cherry,32,8.57,Ap #586-940 Nunc Road,81104
E,Carrot Cake,132,5.27,Ap #951-7379 Lobortis. Rd.,02495
E,Quinine,171,8.26,"951-4966 Lorem, Road",9393
E,Raspberry Ginger Ale,162,9.35,5333 Sem Avenue,60709
E,Peppermint,70,6.47,301-5053 Aenean St.,8852
E,Pear,186,8.72,Ap #744-3642 Eu Road,89408
E,Peach,12,2.66,917-2780 Aliquet Ave,28645
E,Passion Fruit,20,9.77,"P.O. Box 772, 5333 Sagittis Rd.",8849
E,Watermelon,190,0.20,"P.O. Box 381, 7913 Ut Rd.",9977
E,Vanilla,194,6.12,Ap #861-9159 Mollis Rd.,20302
E,Prickly Pear,61,7.45,"P.O. Box 789, 5742 Lacus. St.",8944
E,Mango,90,5.26,4361 Mauris. Rd.,H0E 9E8
E,Butter Toffee,159,4.17,"9780 Enim, Rd.",6810
E,Pumpkin,160,9.83,"P.O. Box 919, 7310 Lorem Rd.",24377-962
E,Peppermint,145,5.11,5238 Integer St.,99423
E,Key Lime,143,0.15,Ap #124-618 Cum Avenue,4057
E,Hazelnut,51,9.12,8101 Nec Road,58163
E,Lemon,124,5.91,792 Nunc St.,85-261
E,Toffee,42,7.76,"619-6887 Sapien, Rd.",484059
E,Mojito,68,2.86,"Ap #519-3666 Eu, Ave",35653
E,Long Island Tea,104,6.86,Ap #506-3571 Nonummy Avenue,48910
E,Butter Rum,166,6.65,Ap #340-1643 Luctus St.,99642
E,Blue Raspberry,70,2.70,Ap #841-9677 Magnis Street,37769
E,Cotton Candy,142,7.65,4500 Molestie St.,585091
E,Raspberry,145,9.11,901-4118 Dignissim Rd.,6154 TM
E,Spice,108,8.43,"P.O. Box 523, 6309 Auctor, Avenue",56991
E,Graham Cracker,134,1.68,437-6000 Primis St.,815662
E,Cinnamon,112,7.72,136-8671 Vivamus St.,9425
E,Lime,145,2.75,3131 Lorem. Ave,7931
E,Hazelnut,112,2.74,550-3323 Mollis Ave,55378
E,Kettle Corn,117,2.40,"7104 Vestibulum, Ave",RA7B 0IE
E,Key Lime,96,7.24,Ap #719-3346 Ac Ave,695034
E,Orange Brandy,58,5.12,614-1454 Ipsum St.,D18 7XW
E,Cherry Cream Spice,71,5.79,562-9988 Bibendum Rd.,2727
E,Fenugreek,165,3.88,Ap #711-3145 Natoque Rd.,4623
E,Bourbon,22,2.08,"P.O. Box 769, 8544 Semper, Street",60801
E,Butter,93,9.52,"P.O. Box 287, 132 At St.",39247-066
E,Blueberry,18,3.85,Ap #772-3407 Lectus St.,630372
E,Plum,99,8.97,7095 Dapibus St.,H7W 2KI
E,Fuzzy Navel,155,8.80,Ap #843-636 Mattis Ave,85966
E,Rum,141,7.79,3495 Vehicula Av.,4742
E,Kettle Corn,32,3.92,"P.O. Box 214, 6554 Augue St.",V2P 4B1
E,Passion Fruit,191,6.19,Ap #514-5197 Fusce Avenue,R45 1WL
E,Melon,10,6.34,"P.O. Box 655, 9519 Eu Road",25136
E,Pina Colada,115,7.10,"P.O. Box 276, 9508 Nunc Road",144508
E,Cookie Dough,50,4.93,4891 Quisque Av.,16092
E,Marshmallow,138,3.45,Ap #949-5188 Sagittis. Avenue,04393
E,Sour,22,2.29,"Ap #462-1056 Urna, Avenue",788888
E,Vanilla Cream,107,1.59,Ap #814-1929 Proin Avenue,14728-030
E,Cherry,144,3.67,5494 Ut St.,51053
E,Vanilla Cream,168,7.39,926-1311 Netus Avenue,2347
E,Ginger Lime,94,5.05,"P.O. Box 712, 6182 Odio. Rd.",9232 DJ
E,Mojito,166,6.60,495-7116 Amet St.,C5G 3H6
E,Almond,124,9.50,Ap #339-7549 Odio Street,31970
E,Ginger Beer,131,5.12,6908 Ultricies Street,508403
E,Prickly Pear,67,7.03,216-1213 Ultrices Ave,56544
E,Kettle Corn,151,5.20,8850 Urna Road,60917
E,Cola,172,4.83,952-103 Odio St.,28853
E,Peppermint,68,0.10,1118 Ac Ave,60867
E,Lemon Custard,103,2.80,"P.O. Box 627, 1094 Urna Road",8268
E,Tutti Frutti,12,7.95,6174 Enim. Ave,7016
E,Cream Soda,11,8.58,848-4573 Et Avenue,7407
E,Caramel,121,2.55,"P.O. Box 464, 4669 Aliquet Street",683654
E,Cherry,160,4.30,Ap #855-4737 Ac Ave,13643
E,Mocha Irish Cream,199,3.62,"P.O. Box 355, 3252 Ut, Avenue",00312
E,Lemon,29,7.82,"P.O. Box 444, 2907 Non, Street",E6T 9Y0
E,Whipped Cream,31,3.96,9894 Congue Av.,40789
E,Cream Soda,168,0.42,"P.O. Box 474, 1204 Lacus. Rd.",02871
E,Whipped Cream,128,1.78,Ap #422-128 Ullamcorper Rd.,9888
E,Green Onion,157,2.89,"P.O. Box 551, 7799 Tincidunt St.",B68 5ZN
E,Green Onion,137,0.99,Ap #243-9088 Nec Street,FK9 6OI
E,Black Cherry,15,2.18,7475 Neque St.,K0M 8K2
E,Anise,88,5.70,"P.O. Box 328, 5435 Nec, Rd.",9493
E,Lemon Custard,38,4.04,"P.O. Box 595, 4359 Volutpat. Road",52609
E,Tequila,71,5.89,365-2385 Aliquet St.,24-051
E,Plantation Punch,190,3.57,"P.O. Box 796, 4248 Curabitur St.",05279
E,Mango Orange Pineapple,68,5.99,521-2338 Tellus Ave,6538
E,Banana,29,2.32,"P.O. Box 363, 1603 Nunc St.",300872
E,Dill Pickle,44,9.60,510-1139 Tincidunt Av.,531035
E,Melon Kiwi,85,2.93,"Ap #826-4093 Elit, Road",V7M 5H8
E,Orange Mandarin,131,2.57,461-4596 Morbi St.,9438
E,Mojito,150,9.21,8789 Nisi Rd.,9579
E,Marshmallow,17,9.31,1913 Amet Ave,VY6 4XV
E,Honey,200,0.50,"P.O. Box 871, 1962 Molestie St.",1652
E,Pecan Roll,49,3.18,247-5809 Tortor Street,67778
E,Tart Lemon,13,8.45,9477 Arcu. Rd.,65364
E,Wild Cherry Cream,126,1.53,"P.O. Box 935, 4975 Vulputate Road",756434
E,Mango Orange Pineapple,97,7.57,"P.O. Box 520, 270 Amet St.",874839
E,Black Walnut,29,1.40,4875 Erat. Av.,91116
E,Plantation Punch,74,2.25,254 Sem Av.,88056
E,Fuzzy Navel,17,9.01,"P.O. Box 305, 5203 Elit, Rd.",71228
E,Pistachio,98,0.26,791-4036 Nullam Avenue,31902
E,Black Licorice,93,1.11,"874-8648 Vel, Avenue",93856
E,Black Currant,66,4.60,"P.O. Box 817, 2998 Erat. Road",58707
E,Orange Mango,89,7.77,"P.O. Box 870, 9422 Adipiscing Rd.",97572
E,Orange Brandy,40,4.60,"P.O. Box 487, 2204 Tellus. Avenue",7262
E,Toffee,88,9.27,"P.O. Box 286, 6564 Purus. Road",10208
E,Wild Cherry Cream,26,3.39,"P.O. Box 647, 8329 Diam Avenue",2282
E,Tropical Punch,87,8.16,Ap #288-5623 Sollicitudin Street,23853
E,Rock and Rye,47,6.07,Ap #635-7521 Nunc Av.,55691
E,Creme de Menthe,127,7.77,"Ap #810-4518 Orci, Avenue",7409
E,Elderberry,84,2.04,6551 Pede Street,96872
E,Vanilla,91,4.99,Ap #847-949 Consectetuer Rd.,895511
E,Black Licorice,15,5.42,315-6557 A Avenue,99246
E,Apple,156,7.69,3811 Eros. Rd.,U0 9RQ
E,Cream Soda,16,3.94,"235-7497 Pellentesque, St.",57516
E,Coconut,44,1.86,"P.O. Box 909, 2837 Turpis Av.",41109
E,Toasted Coconut,14,9.63,289-2176 Interdum St.,8205
E,Pear,54,4.04,332-944 Semper St.,07888
E,Peppermint,200,6.22,Ap #616-4804 Mauris Avenue,74283-886
E,Malted Milk,175,5.90,2616 Purus. Street,371659
